dose \ contrast,c0,c1,c2,c3,c4,c5,c6
d0,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.500,MAR=0.510;FBP=0.500,MAR=0.500;FBP=0.500,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.500,MAR=0.520;FBP=0.500
d1,MAR=0.500;FBP=0.500,MAR=0.500;FBP=0.490,MAR=0.500;FBP=0.520,MAR=0.520;FBP=0.490,MAR=0.500;FBP=0.490,MAR=0.480;FBP=0.490,MAR=0.490;FBP=0.510
d2,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.500,MAR=0.520;FBP=0.490,MAR=0.500;FBP=0.510,MAR=0.490;FBP=0.490,MAR=0.500;FBP=0.500,MAR=0.490;FBP=0.490
d3,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.510,MAR=0.510;FBP=0.500,MAR=0.510;FBP=0.510,MAR=0.510;FBP=0.500,MAR=0.480;FBP=0.470,MAR=0.520;FBP=0.480
d4,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.490,MAR=0.510;FBP=0.500,MAR=0.490;FBP=0.520,MAR=0.500;FBP=0.490,MAR=0.480;FBP=0.500,MAR=0.510;FBP=0.490
d5,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.520,MAR=0.500;FBP=0.490,MAR=0.500;FBP=0.520,MAR=0.490;FBP=0.510,MAR=0.500;FBP=0.480,MAR=0.490;FBP=0.480
d6,MAR=0.500;FBP=0.500,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.500,MAR=0.490;FBP=0.500,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.480,MAR=0.510;FBP=0.530
d7,MAR=0.500;FBP=0.500,MAR=0.490;FBP=0.500,MAR=0.500;FBP=0.500,MAR=0.500;FBP=0.500,MAR=0.500;FBP=0.510,MAR=0.500;FBP=0.500,MAR=0.510;FBP=0.500
d8,MAR=0.500;FBP=0.500,MAR=0.490;FBP=0.510,MAR=0.490;FBP=0.500,MAR=0.510;FBP=0.510,MAR=0.490;FBP=0.480,MAR=0.500;FBP=0.490,MAR=0.500;FBP=0.510
d9,MAR=0.500;FBP=0.500,MAR=0.500;FBP=0.510,MAR=0.490;FBP=0.500,MAR=0.510;FBP=0.500,MAR=0.510;FBP=0.490,MAR=0.490;FBP=0.510,MAR=0.510;FBP=0.500
d10,MAR=0.500;FBP=0.500,MAR=0.500;FBP=0.490,MAR=0.510;FBP=0.510,MAR=0.500;FBP=0.490,MAR=0.490;FBP=0.470,MAR=0.510;FBP=0.490,MAR=0.500;FBP=0.500
